human	41
concern	33
life	30
time	29
animal	25
nature	24
issue	20
individual	20
year	17
people	17
environment	16
future	16
sea	16
global	15
water	14
climate	14
family	13
rising	13
better	13
action	13
level	13
country	13
emotion	13
logic	13
living	11
live	11
small	11
earth	11
system	11
knowledge	10
house	10
personal	10
health	10
government	10
refugee	10
technology	10
access	9
mental	9
pollution	9
question	8
thing	8
lack	8
environmental	8
impact	8
challenge	8
society	8
ocean	8
largest	8
natural	8
place	7
change	7
sense	7
planet	7
find	7
carbon	7
problem	7
company	7
testing	7
start	7
apathy	7
fact	6
difficult	6
event	6
long	6
lot	6
point	6
aspect	6
side	6
control	6
plastic	6
example	6
seawater	6
generation	6
greenhouse	6
gas	6
activity	6
element	6
based	6
trend	6
idea	6
afraid	6
concept	6
laboratory	6
coral	6
reason	5
thought	5
began	5
cost	5
kid	5
education	5
money	5
drive	5
responsibility	5
decision	5
security	5
social	5
conflict	5
current	5
effect	5
spring	5
temperature	5
extreme	5
dioxide	5
source	5
develop	5
energy	5
century	5
provide	5
situation	5
real	5
history	5
day	5
grandma	5
beauty	5
island	5
great	4
good	4
started	4
realize	4
article	4
despite	4
decade	4
essay	4
going	4
basic	4
main	4
experience	4
way	4
child	4
feel	4
reality	4
environmentally	4
previous	4
corporation	4
political	4
globally	4
condition	4
form	4
fresh	4
warming	4
rise	4
create	4
developed	4
including	4
leaving	4
air	4
waste	4
poor	4
phenomenon	4
protect	4
being	4
humanity	4
role	4
loss	4
creation	4
understand	4
solution	4
biggest	4
tree	4
ability	4
true	4
digital	4
attack	4
fear	4
jacobo	4
specie	4
thoreau	4
face	4
kiribati	4
quality	3
wellbeing	3
working	3
news	3
witnessed	3
service	3
product	3
concerning	3
afford	3
healthcare	3
community	3
considered	3
average	3
saudi	3
matter	3
work	3
effort	3
invest	3
land	3
large	3
lie	3
lifestyle	3
feeling	3
adopted	3
changing	3
conscious	3
route	3
harmful	3
worry	3
concerned	3
consumer	3
behavior	3
advancement	3
three	3
population	3
war	3
river	3
term	3
happening	3
capable	3
regulation	3
policy	3
force	3
short	3
star	3
sky	3
city	3
industry	3
chemical	3
space	3
emission	3
reached	3
scenario	3
continue	3
resource	3
inequality	3
solve	3
game	3
total	3
allocate	3
lucky	3
internet	3
artificial	3
pure	3
position	3
survive	3
physical	3
green	3
best	3
applied	3
tool	3
worth	3
contradiction	3
belief	3
violence	3
desire	3
destructive	3
channeled	3
area	3
expert	3
test	3
car	3
vulnerable	3
care	3
facility	3
caused	3
group	3
data	3
growth	3
dark	3
cosmetic	3
eye	3
consequence	3
call	3
relationship	3
affectation	3
problematics	3
destroy	3
greenland	3
blackboard	2
wealth	2
asked	2
extent	2
reading	2
thinking	2
entire	2
price	2
food	2
decent	2
define	2
safe	2
kind	2
ago	2
guaranteed	2
dream	2
townhouse	2
apartment	2
build	2
sound	2
positive	2
derives	2
increasing	2
growing	2
larger	2
understanding	2
dealing	2
aware	2
exposed	2
recycling	2
early	2
passion	2
driven	2
gradually	2
met	2
sentiment	2
felt	2
despair	2
friendly	2
hope	2
convenient	2
struggle	2
practice	2
power	2
straw	2
led	2
responsible	2
conscience	2
ali	2
altowilib	2
hw	2
worse	2
massive	2
economic	2
suffered	2
disorder	2
national	2
encounter	2
daily	2
building	2
barrier	2
seek	2
help	2
prevent	2
scarcity	2
crisis	2
drought	2
ensure	2
sustainability	2
enhancement	2
destination	2
worldwide	2
application	2
death	2
providing	2
faced	2
support	2
answer	2
called	2
summer	2
memory	2
development	2
type	2
marine	2
oil	2
amount	2
innocent	2
lead	2
weather	2
extinction	2
melting	2
glacier	2
disappear	2
curb	2
result	2
instance	2
well	2
billion	2
fight	2
enjoy	2
talk	2
mitigation	2
jonathan	2
von	2
institut	2
theory	2
unconventional	2
nt	2
needed	2
disparity	2
supply	2
exacerbate	2
migration	2
proven	2
capability	2
holistic	2
approach	2
carry	2
home	2
benefit	2
electricity	2
disease	2
born	2
intelligence	2
rule	2
pandemic	2
bringing	2
citizen	2
center	2
crucial	2
creating	2
organization	2
shape	2
expecting	2
consider	2
financial	2
perspective	2
view	2
head	2
parent	2
third	2
older	2
emotional	2
pillar	2
path	2
music	2
connected	2
identity	2
accountability	2
nowadays	2
direction	2
associated	2
worst	2
unique	2
word	2
mindset	2
definition	2
meaning	2
plant	2
feature	2
modern	2
forced	2
affair	2
factor	2
immense	2
exploiting	2
golden	2
written	2
facing	2
claim	2
persist	2
strong	2
beneficial	2
device	2
burst	2
damaging	2
perfect	2
constantly	2
case	2
determine	2
fault	2
require	2
impossible	2
societal	2
expertise	2
flaw	2
story	2
save	2
reader	2
hole	2
speak	2
analysis	2
communication	2
built	2
ten	2
produced	2
rental	2
medium	2
reducing	2
making	2
damage	2
database	2
hospital	2
cyberwarfare	2
threat	2
thousand	2
exposing	2
contribution	2
medical	2
trial	2
distress	2
looked	2
cruel	2
ancient	2
dissection	2
dangerous	2
sort	2
pain	2
mentally	2
procedure	2
stress	2
routine	2
balcombe	2
experiment	2
conclusion	2
field	2
remember	2
morning	2
night	2
leave	2
chance	2
mind	2
wood	2
wild	2
boy	2
burned	2
machine	2
man	2
vast	2
artist	2
awake	2
spiritual	2
connection	2
exists	2
soul	2
emerson	2
proquest	2
ebook	2
central	2
ebookcentralproquestcom	2
bigger	2
grow	2
choose	2
creature	2
turn	2
destroyed	2
half	2
fast	2
pretty	2
famine	2
flood	2
earthquake	2
interest	2
entity	2
generalized	2
implement	2
reduce	2
causing	2
indifference	2
politics	2
disappeared	2
tuvalu	2
wave	2
wall	2
melt	2
meter	2
rate	2
summit	2
united	2
calcification	2
ipcc	2
assessment	2
namakin	2
homework	1
posted	1
designate	1
enjoying	1
healthy	1
sufficient	1
luxury	1
posse	1
blessing	1
indulged	1
ringing	1
ear	1
heaven	1
firstly	1
dr	1
patzek	1
link	1
language	1
uncommon	1
terminologyvocabulary	1
inspired	1
broad	1
profound	1
explanation	1
remarkable	1
linking	1
sortie	1
shaped	1
enlightening	1
presented	1
match	1
compensate	1
dramatic	1
starting	1
gasoline	1
grocery	1
household	1
clothes	1
technically	1
justifiable	1
vat	1
entrain	1
uniquely	1
illustrate	1
highquality	1
college	1
comprehensive	1
insurance	1
spacious	1
clean	1
respected	1
course	1
hard	1
achieve	1
wonder	1
enroll	1
wellknown	1
highperforming	1
tuition	1
insanely	1
higher	1
greatly	1
intend	1
spare	1
addition	1
buying	1
affordability	1
norm	1
percentage	1
downsizing	1
super	1
highlighted	1
opposite	1
sharing	1
additional	1
income	1
ensuring	1
desirable	1
shaden	1
albahrani	1
erpe	1
anxious	1
worried	1
fastpaced	1
eased	1
anxiety	1
adult	1
learning	1
veganism	1
watching	1
documentary	1
cowspiracy	1
reusing	1
campaign	1
elementary	1
gruesome	1
operates	1
balance	1
hopelessness	1
realization	1
initially	1
slightest	1
combination	1
discouragement	1
confusion	1
waning	1
struggled	1
inspire	1
grew	1
abandon	1
bottle	1
utensil	1
healthier	1
mentality	1
discouraged	1
habit	1
collective	1
frustrates	1
convenience	1
intact	1
inconvenienced	1
paired	1
frustration	1
chosen	1
hold	1
pressing	1
continuing	1
coffee	1
shop	1
switching	1
omitting	1
altogether	1
scale	1
impactful	1
demand	1
greenwashing	1
false	1
purchase	1
inhabiting	1
overwhelmingly	1
fall	1
urgency	1
heading	1
junction	1
choice	1
highlight	1
selected	1
slowing	1
progress	1
unfortunate	1
severe	1
stigma	1
conducted	1
council	1
singapore	1
concluded	1
discrimination	1
basis	1
discriminate	1
stigmatize	1
selfdoubt	1
reluctance	1
mission	1
raising	1
awareness	1
acceptance	1
promote	1
curfew	1
lockdown	1
inevitable	1
consequently	1
patient	1
withdrawal	1
potential	1
suicide	1
attempt	1
essential	1
maintaining	1
sustaining	1
covered	1
classified	1
ongoing	1
profusion	1
contribute	1
drinkable	1
resolved	1
governmental	1
nile	1
dam	1
egypt	1
ethiopia	1
combat	1
desalination	1
irrigation	1
yearly	1
flee	1
searching	1
standard	1
continuous	1
syria	1
afghanistan	1
venezuela	1
overwhelming	1
welcomed	1
contrary	1
rich	1
turning	1
hosting	1
complexity	1
return	1
unsafe	1
illegal	1
revise	1
cross	1
boarder	1
ease	1
asylum	1
minimize	1
brighter	1
currently	1
status	1
unmentioned	1
adverse	1
local	1
collaboration	1
demanded	1
drastic	1
upcoming	1
ourworldindataorgmentalhealth	1
wwwncssgovsgdocsdefaultsourcencsspressreleasedocmhantistigmacampaignlaunchreleasepdfpdf	1
wwwnationalgeographiccomenvironmentfreshwaterfreshwatercrisis	1
wwwmecocomfactsaboutwaterscarcity	1
wwwwaterlogicaustraliacomauresourcesbloghowpeopleareresolvingtoreducewaterscarcity	1
wwwamnestyorgenwhatwedorefugeesasylumseekersandmigrantsglobalrefugeecrisisstatisticsandfacts	1
hanging	1
baotu	1
staggered	1
gushing	1
clear	1
bottom	1
cut	1
groundwater	1
extraction	1
hot	1
polluted	1
name	1
noise	1
light	1
victim	1
toxic	1
metal	1
manmade	1
municipal	1
industrial	1
pesticide	1
fertilizer	1
pharmaceutical	1
albatross	1
chick	1
died	1
eating	1
seabird	1
hungry	1
ingest	1
take	1
stomach	1
leading	1
starvation	1
protecting	1
describe	1
unfamiliar	1
quietly	1
wildlife	1
ghg	1
consisting	1
methane	1
nitrous	1
oxide	1
contributor	1
caught	1
attention	1
intense	1
surprise	1
faster	1
expected	1
netherland	1
urgent	1
discus	1
numerous	1
strategy	1
mitigate	1
paris	1
agreement	1
december	1
reaffirmed	1
goal	1
limiting	1
increase	1
combustion	1
fossil	1
fuel	1
releasing	1
ton	1
atmosphere	1
consensus	1
nonfossil	1
renewable	1
root	1
jinanwang	1
jacqueline	1
philip	1
theconversationcomwhyocean	1
nunez	1
simon	1
wwwnationalgeographiccomenvironmentglobalwarmingglobalwarmingoverview	1
rao	1
riahi	1
longterm	1
special	1
peter	1
kuispers	1
wwwuunlennewsthequestionisnotifthenetherlandswilldisappearbelowsealevelbutwhen	1
technologiecharakterisierungen	1
steckbriefen	1
virtuelles	1
zu	1
strom	1
und	1
